277157,0684801663,6.0
276929,2868696627,0.0
277427,0375415491,0.0
276848,3596122279,0.0
277203,0590404342,8.0
276953,0446310786,10.0
277411,044023722X,0.0
276804,0440498058,8.0
277427,015200405X,0.0
277427,0836221192,10.0
277413,0316666343,0.0
277203,0380702843,0.0
277221,0749397365,9.0
276929,20202006935,8.0
277427,0803653719,8.0
276994,3442054753,0.0
276939,0971880107,0.0
276925,8496246140,0.0
277109,0066210151,0.0
276861,0141011904,9.0
276798,3446202102,0.0
276925,0060930934,0.0
277427,0898157803,10.0
277378,0671028375,0.0
276822,0699854289,10.0
277231,0722539924,7.0
276925,8434830809,0.0
277427,0836218817,10.0
276856,2800135565,0.0
277466,0395835836,0.0
276925,8429753419,0.0
277427,0446350982,9.0
277427,0886771528,0.0
277427,1562923668,10.0
276986,0874869870,10.0
277378,0812590554,0.0
277427,0440170796,0.0
276847,3506464078,10.0
277427,0743406176,8.0
276751,033390804X,0.0
276814,0091830893,8.0
276963,0340818182,0.0
277427,0743444477,9.0
277203,0882712926,0.0
277195,0679741666,0.0
277171,0679737456,0.0
277427,0061004251,0.0
277433,0749317132,0.0
276854,0671034944,5.0
276762,3442425573,0.0
277378,0679741879,0.0
277230,0826308791,5.0
277427,156865037X,7.0
277242,0812514440,5.0
276929,2070365832,0.0
277032,0061007129,8.0
276912,1852422580,0.0
276866,3453130901,5.0
276837,0380005239,5.0
277427,0898155843,9.0
277159,0969691319,10.0
276927,0749336145,10.0
277330,0441478123,0.0
276859,0140252517,6.0
276929,2266102028,0.0
277427,0932944523,0.0
276847,3423205806,0.0
277427,0375408886,9.0
277249,11238356,0.0
277427,1551664968,0.0
277427,080501604X,0.0
277195,0553273604,0.0
276929,2.02.032126.2,0.0
276813,8424130081,0.0
277378,0380490986,0.0
276998,0618045996,8.0
277427,1576733343,10.0
276925,0486424499,0.0
276925,8475961290,0.0
276929,2264024674,5.0
276929,2226135022,0.0
277107,0843951826,5.0
277427,0440221501,0.0
277379,3499223066,0.0
276954,3596221234,0.0
276925,0843128240,0.0
277427,0440185327,5.0
276884,8496280012,7.0
276859,0140328742,0.0
277056,3442451353,7.0
277187,1880323818,0.0
277272,972211493X,0.0
277272,9724608152,0.0
276780,8434811634,0.0
276925,0192834312,0.0
277427,0553572865,0.0
276928,0590470108,7.0
277427,1565120310,0.0
277427,0061030430,0.0
276862,1569312435,9.0
277203,0380710404,0.0
276861,3423206616,8.0
276848,3462026062,8.0
277427,0670307254,8.0
276875,8804510579,0.0
276814,0812571029,9.0
276861,3423201509,10.0
277427,0132220598,8.0
276848,3453127013,0.0
277203,0785316493,7.0
277427,0345373561,0.0
277378,0553371835,0.0
276959,680ISBN359623,6.0
277427,0679459626,0.0
276780,8484332039,7.0
277272,9722320742,5.0
277157,0399151451,7.0
276954,3502551685,0.0
277427,0971880107,0.0
277203,0307987655,8.0
277256,0397314728,9.0
276994,3478387507,2.0
276803,9726954835,0.0
277466,0385491387,0.0
277197,0316969680,8.0
276939,8408040383,0.0
277007,8817860751,7.0
277427,0836204387,0.0
276929,226402593X,3.0
276964,0440218667,5.0
277436,0590629816,10.0
277171,0449213730,8.0
276954,3492238882,0.0
277427,0800786459,0.0
277134,1586609726,6.0
276929,202011528X,5.0
276994,3423202327,6.0
277427,0060913509,0.0
277427,0671001795,0.0
277427,0345311396,0.0
276954,3440054594,0.0
277427,067940676X,0.0
277427,0452283736,0.0
276984,0590436503,0.0
276986,0060930187,10.0
277157,0399149783,0.0
277427,1557733090,0.0
277195,0330332775,10.0
276866,3404614542,0.0
276925,0747545111,0.0
277203,0717283194,8.0
277237,038550926X,7.0
277189,074341232X,8.0
276929,0380807343,0.0
277427,0385486804,9.0
277427,0140067841,0.0
276812,8879839993,8.0
277195,0440174953,9.0
276964,0812550153,5.0
276929,2080680692,0.0
276929,2266096451,0.0
277195,0743458036,0.0
276984,0590260251,9.0
277042,0312283709,8.0
277203,0394800184,9.0
277195,0811801802,0.0
276848,349926028X,0.0
276796,0330332775,5.0
276925,2266095536,0.0
277427,039304016X,8.0
277157,0380731851,0.0
277427,0345408039,0.0
277143,031286504X,10.0
277107,0375706038,10.0
276762,3453185323,0.0
276822,0689804458,8.0
277272,9726101794,4.0
277427,0345404769,0.0
277203,030700645X,8.0
277203,0590442619,9.0
277157,0399147322,0.0
