0971880107,"""Wild Animus""","""Rich Shapero""","""2004""","""Too Far""","""http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg"""
0375406328,"""Lying Awake""","""Mark Salzman""","""2000""","""Alfred A. Knopf""","""http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg"""
0446310786,"""To Kill a Mockingbird""","""Harper Lee""","""1988""","""Little Brown &amp"," Company""","""http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg"""
0440225701,"""The Street Lawyer""","""JOHN GRISHAM""","""1999""","""Dell""","""http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg"""
042511774X,"""Breathing Lessons""","""Anne Tyler""","""1994""","""Berkley Publishing Group""","""http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg"""
0804106304,"""The Joy Luck Club""","""Amy Tan""","""1994""","""Prentice Hall (K-12)""","""http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg"""
1853262404,"""Heart of Darkness (Wordsworth Collection)""","""Joseph Conrad""","""1998""","""NTC/Contemporary Publishing Company""","""http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg"""
0140067477,"""The Tao of Pooh""","""Benjamin Hoff""","""1983""","""Penguin Books""","""http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg"""
0451166892,"""The Pillars of the Earth""","""Ken Follett""","""1996""","""Signet Book""","""http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg"""
0671027360,"""Angels &amp"," Demons""","""Dan Brown""","""2001""","""Pocket Star""","""http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg"""
0671042858,"""The Girl Who Loved Tom Gordon""","""Stephen King""","""2000""","""Pocket""","""http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg"""
0060976845,"""Little Altars Everywhere: A Novel""","""Rebecca Wells""","""1996""","""Perennial""","""http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg"""
0330332775,"""Bridget Jones's Diary""","""Helen Fielding""","""1997""","""Picador (UK)""","""http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg"""
0399138684,"""The Cat Who Came to Breakfast (Cat Who... (Hardcover))""","""Lilian Jackson Braun""","""1994""","""Putnam Pub Group""","""http://images.amazon.com/images/P/0399138684.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0399138684.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0399138684.01.LZZZZZZZ.jpg"""
0345311396,"""Private Screening""","""Richard North Patterson""","""1994""","""Ballantine Books""","""http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0345311396.01.LZZZZZZZ.jpg"""
0380718332,"""All That Remains (Kay Scarpetta Mysteries (Paperback))""","""Patricia D. Cornwell""","""1993""","""Avon""","""http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg""","""http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg""","""http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg"""
